            Время    Канал: 0    Канал: 1 
 00:00:00.000.000     -0.4565     -2.0996 
 00:00:00.000.166     -0.4883     -2.1802 
 00:00:00.000.332     -0.5273     -2.2681 
 00:00:00.000.498     -0.5469     -2.3096 
 00:00:00.000.664     -0.5762     -2.3584 
 00:00:00.000.830     -0.6055     -2.4072 
 00:00:00.000.996     -0.6274     -2.4487 
 00:00:00.001.162     -0.6567     -2.4976 
 00:00:00.001.328     -0.6470     -2.5366 
 00:00:00.001.494     -0.6763     -2.5781 
 00:00:00.001.660     -0.6958     -2.6074 
 00:00:00.001.826     -0.7251     -2.6465 
 00:00:00.001.992     -0.7471     -2.6782 
 00:00:00.002.158     -0.7568     -2.7271 
 00:00:00.002.324     -0.7568     -2.7661 
 00:00:00.002.490     -0.7764     -2.8076 
 00:00:00.002.656     -0.8154     -2.8369 
 00:00:00.002.822     -0.7959     -2.9248 
 00:00:00.002.988     -0.8057     -2.9956 
 00:00:00.003.154     -0.8252     -3.0664 
 00:00:00.003.320     -0.8350     -3.0859 
 00:00:00.003.486     -0.8350     -3.1348 
 00:00:00.003.652     -0.8545     -3.1445 
 00:00:00.003.818     -0.8350     -3.1348 
 00:00:00.003.984     -0.8252     -3.1055 
 00:00:00.004.150     -0.8252     -3.0444 
 00:00:00.004.316     -0.8057     -2.9053 
 00:00:00.004.482     -0.8154     -2.7661 
 00:00:00.004.648     -0.8154     -2.6465 
 00:00:00.004.814     -0.7959     -2.5073 
 00:00:00.004.980     -0.8057     -2.3682 
 00:00:00.005.146     -0.7959     -2.2192 
 00:00:00.005.312     -0.7666     -2.0605 
 00:00:00.005.478     -0.7861     -1.9409 
 00:00:00.005.644     -0.7959     -1.7505 
 00:00:00.005.810     -0.7764     -1.5918 
 00:00:00.005.976     -0.7764     -1.4136 
 00:00:00.006.142     -0.7764     -1.2329 
 00:00:00.006.308     -0.7666     -1.0547 
 00:00:00.006.474     -0.7666     -0.8643 
 00:00:00.006.640     -0.7568     -0.6763 
 00:00:00.006.806     -0.7568     -0.4883 
 00:00:00.006.972     -0.7471     -0.2881 
 00:00:00.007.138     -0.7251     -0.1099 
 00:00:00.007.304     -0.7471      0.0708 
 00:00:00.007.470     -0.7349      0.2686 
 00:00:00.007.636     -0.7056      0.4492 
 00:00:00.007.802     -0.6958      0.6274 
 00:00:00.007.968     -0.5859      0.7861 
 00:00:00.008.134     -0.4175      0.9351 
 00:00:00.008.300     -0.2075      1.0864 
 00:00:00.008.466     -0.0781      1.1938 
 00:00:00.008.632      0.0293      1.3135 
 00:00:00.008.798      0.1196      1.4429 
 00:00:00.008.964      0.2002      1.5527 
 00:00:00.009.130      0.2686      1.6626 
 00:00:00.009.296      0.3198      1.7627 
 00:00:00.009.462      0.3687      1.8628 
 00:00:00.009.628      0.4077      1.9507 
 00:00:00.009.794      0.4590      2.0215 
 00:00:00.009.960      0.4785      2.0898 
 00:00:00.010.126      0.4980      2.1704 
 00:00:00.010.292      0.5371      2.2314 
 00:00:00.010.458      0.5688      2.2998 
 00:00:00.010.624      0.5884      2.3608 
 00:00:00.010.790      0.6079      2.4097 
 00:00:00.010.956      0.6274      2.4390 
 00:00:00.011.122      0.6470      2.4902 
 00:00:00.011.288      0.6567      2.5293 
 00:00:00.011.454      0.6763      2.5684 
 00:00:00.011.620      0.6763      2.5879 
 00:00:00.011.786      0.6885      2.6294 
 00:00:00.011.952      0.7080      2.6587 
 00:00:00.012.118      0.7275      2.6978 
 00:00:00.012.284      0.7373      2.7588 
 00:00:00.012.450      0.7471      2.7783 
 00:00:00.012.616      0.7568      2.8369 
 00:00:00.012.782      0.7861      2.9077 
 00:00:00.012.948      0.7861      2.9761 
 00:00:00.013.114      0.7861      3.0469 
 00:00:00.013.280      0.8179      3.0762 
 00:00:00.013.446      0.8276      3.1152 
 00:00:00.013.612      0.8374      3.1470 
 00:00:00.013.778      0.8276      3.1250 
 00:00:00.013.944      0.8179      3.0957 
 00:00:00.014.110      0.8276      3.0469 
 00:00:00.014.276      0.8179      2.9077 
 00:00:00.014.442      0.8179      2.7881 
 00:00:00.014.608      0.7959      2.6587 
 00:00:00.014.774      0.8179      2.5391 
 00:00:00.014.940      0.7959      2.3999 
 00:00:00.015.106      0.8179      2.2510 
 00:00:00.015.272      0.7959      2.1118 
 00:00:00.015.438      0.7861      1.9507 
 00:00:00.015.604      0.7764      1.7920 
 00:00:00.015.770      0.7666      1.6333 
 00:00:00.015.936      0.7471      1.4648 
 00:00:00.016.102      0.7666      1.2842 
 00:00:00.016.268      0.7568      1.0962 
 00:00:00.016.434      0.7373      0.8960 
 00:00:00.016.600      0.7373      0.7080 
 00:00:00.016.766      0.7373      0.5176 
 00:00:00.016.932      0.7275      0.3296 
 00:00:00.017.098      0.7471      0.1489 
 00:00:00.017.264      0.7471     -0.0391 
 00:00:00.017.430      0.7080     -0.2295 
