,U,E,N,U-Us,U/N,sqrt(U/N)
,,meV,,,,
3390,5,590,"53,4",1,"0,0187265917602996","0,136845137875993"
3380,"5,5",600,55,"1,5","0,0272727272727273","0,165144564768954"
3370,7,610,"56,6",3,"0,0530035335689046","0,230224962957766"
3360,9,618,"58,3",5,"0,0857632933104631","0,292853706328711"
3350,12,626,"60,2",8,"0,132890365448505","0,364541308288245"
3340,17,633,"61,6",13,"0,211038961038961","0,459389770281143"
3330,23,642,"62,6",19,"0,303514376996805","0,550921389126257"
3320,31,649,"63,9",27,"0,422535211267606","0,650027085026159"
3310,46,655,"65,6",42,"0,640243902439024","0,800152424503622"
3300,55,664,"67,8",51,"0,752212389380531","0,867301786796575"
3290,88,673,"69,1",84,"1,21562952243126","1,10255590444714"
3280,120,684,"70,2",116,"1,65242165242165","1,2854655391809"
3270,160,693,"71,7",156,"2,17573221757322","1,4750363444923"
3260,205,703,"72,5",201,"2,77241379310345","1,66505669366044"
3250,260,717,"73,9",256,"3,46414073071719","1,86122022628092"
3240,330,728,"75,5",326,"4,31788079470199","2,07795110498346"
3230,420,738,"77,2",416,"5,38860103626943","2,3213360455284"
3220,560,749,"79,2",556,"7,02020202020202","2,64956638342994"
3210,740,760,"80,3",736,"9,16562889165629","3,02747896634416"
3200,980,771,"81,1",976,"12,0345252774353","3,46908133047285"
3190,1350,781,"81,9",1346,"16,4346764346764","4,05397045310846"
3180,1850,792,"83,3",1846,"22,1608643457383","4,70753272380961"
3170,2350,803,"84,7",2346,"27,6977567886659","5,26286583418824"
3160,2800,813,"85,5",2796,"32,7017543859649","5,71854477869719"
3150,3200,824,"86,2",3196,"37,07656612529","6,08905297441975"
3140,3500,834,"86,7",3496,"40,322952710496","6,35003564639569"
3130,3600,846,"87,2",3596,"41,2385321100917","6,4217234532555"
3120,3800,856,"87,6",3796,"43,3333333333333","6,58280588604383"
3110,3900,867,"88,6",3896,"43,9729119638826","6,63120742880832"
3100,3950,878,"89,2",3946,"44,237668161435","6,65114036548884"
